@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute light-1 numeric
@attribute outputs-1 numeric

@data
373,'2021/06/23 13:15:42:086',2,20.001221,0
374,'2021/06/23 13:15:45:086',3,14.777522,0
375,'2021/06/23 13:15:45:149',3,14.622018,0
376,'2021/06/23 13:15:45:207',3,14.497614,0
377,'2021/06/23 13:15:45:270',3,14.398091,0
378,'2021/06/23 13:15:45:326',3,14.318473,0
379,'2021/06/23 13:15:45:473',3,14.254778,0
380,'2021/06/23 13:15:45:473',3,14.203822,0
381,'2021/06/23 13:15:45:506',3,14.163057,0
382,'2021/06/23 13:15:45:567',3,14.330446,0
383,'2021/06/23 13:15:45:626',3,14.464357,0
384,'2021/06/23 13:15:45:686',3,14.771486,0
385,'2021/06/23 13:15:45:746',3,15.017189,0
386,'2021/06/23 13:15:45:806',3,15.613751,0
387,'2021/06/23 13:15:45:865',3,16.091002,0
388,'2021/06/23 13:15:45:927',3,16.672802,0
389,'2021/06/23 13:15:45:986',3,17.138241,0
390,'2021/06/23 13:15:46:049',3,17.510593,0
391,'2021/06/23 13:15:46:107',3,17.808475,0
392,'2021/06/23 13:15:46:166',3,18.04678,0
393,'2021/06/23 13:15:46:225',3,18.237423,0
394,'2021/06/23 13:15:46:290',3,18.389938,0
395,'2021/06/23 13:15:46:352',3,18.511951,0
396,'2021/06/23 13:15:46:417',3,18.20956,0
397,'2021/06/23 13:15:46:482',3,17.967648,0
398,'2021/06/23 13:15:46:527',3,17.774118,0
399,'2021/06/23 13:15:46:589',3,17.619295,0
400,'2021/06/23 13:15:46:648',3,17.495436,0
401,'2021/06/23 13:15:46:707',3,17.396349,0
402,'2021/06/23 13:15:46:771',3,17.31708,0
403,'2021/06/23 13:15:46:827',3,17.253664,0
404,'2021/06/23 13:15:46:886',3,17.402931,0
405,'2021/06/23 13:15:46:946',3,17.522345,0
406,'2021/06/23 13:15:47:019',3,17.417875,0
407,'2021/06/23 13:15:47:065',3,17.334301,0.01
408,'2021/06/23 13:15:47:126',3,18.06744,0.02
409,'2021/06/23 13:15:47:185',3,18.653952,0.02
410,'2021/06/23 13:15:47:246',3,21.523161,0.02
411,'2021/06/23 13:15:47:346',3,23.818529,0.03
412,'2021/06/23 13:15:47:366',3,29.254824,0.04
413,'2021/06/23 13:15:47:426',3,33.603859,0.04
414,'2021/06/23 13:15:47:518',3,41.683086,0.04
415,'2021/06/23 13:15:47:547',3,50.746468,0.05
416,'2021/06/23 13:15:47:607',3,57.997173,0.06
417,'2021/06/23 13:15:47:669',3,63.797737,0.07
418,'2021/06/23 13:15:47:727',3,71.838188,0.07
419,'2021/06/23 13:15:47:786',3,83.270554,0.08
420,'2021/06/23 13:15:47:845',3,92.416443,0.11
421,'2021/06/23 13:15:47:948',3,104.533157,0.13
422,'2021/06/23 13:15:47:965',3,114.226524,0.13
423,'2021/06/23 13:15:48:027',3,121.981216,0.13
424,'2021/06/23 13:15:48:086',3,132.584976,0.16
425,'2021/06/23 13:15:48:169',3,144.667984,0.19
426,'2021/06/23 13:15:48:207',3,154.334381,0.21
427,'2021/06/23 13:15:48:268',3,165.467499,0.23
428,'2021/06/23 13:15:48:326',3,174.373993,0.23
429,'2021/06/23 13:15:48:390',3,184.299194,0.23
430,'2021/06/23 13:15:48:450',3,192.239349,0.29
431,'2021/06/23 13:15:48:508',3,201.191483,0.34
432,'2021/06/23 13:15:48:657',3,208.35318,0.43
433,'2021/06/23 13:15:48:657',3,215.08255,0.43
434,'2021/06/23 13:15:48:687',3,220.466034,0.43
435,'2021/06/23 13:15:48:769',3,227.172821,0.49
436,'2021/06/23 13:15:48:808',3,232.538254,0.53
437,'2021/06/23 13:15:48:866',3,237.830597,0.56
438,'2021/06/23 13:15:48:927',3,242.064484,0.58
439,'2021/06/23 13:15:48:987',3,246.451584,0.59
440,'2021/06/23 13:15:49:047',3,249.961273,0.61
441,'2021/06/23 13:15:49:105',3,253.569016,0.69
442,'2021/06/23 13:15:49:217',3,256.4552,0.72
443,'2021/06/23 13:15:49:229',3,259.564148,0.72
444,'2021/06/23 13:15:49:325',3,262.051331,0.78
445,'2021/06/23 13:15:49:383',3,264.441071,0.8
446,'2021/06/23 13:15:49:418',3,266.352844,0.82
447,'2021/06/23 13:15:49:468',3,268.282288,0.82
448,'2021/06/23 13:15:49:526',3,269.825836,0.82
449,'2021/06/23 13:15:49:586',3,271.660675,0.84
450,'2021/06/23 13:15:49:645',3,273.12854,0.84
451,'2021/06/23 13:15:49:725',3,274.302826,0.84
452,'2021/06/23 13:15:49:797',3,275.242249,0.89
453,'2021/06/23 13:15:49:850',3,276.593811,0.89
454,'2021/06/23 13:15:49:893',3,277.675049,0.93
455,'2021/06/23 13:15:49:971',3,278.740051,0.94
456,'2021/06/23 13:15:50:006',3,279.592041,0.94
457,'2021/06/23 13:15:50:066',3,280.473633,0.94
458,'2021/06/23 13:15:50:126',3,281.178894,0.96
459,'2021/06/23 13:15:50:206',3,281.943115,1
460,'2021/06/23 13:15:50:248',3,282.554504,1
461,'2021/06/23 13:15:50:332',3,283.243591,1
462,'2021/06/23 13:15:50:402',3,283.794861,1
463,'2021/06/23 13:15:50:455',3,284.635895,1
464,'2021/06/23 13:15:50:601',3,285.308716,1
465,'2021/06/23 13:15:50:601',3,286.046967,1
466,'2021/06/23 13:15:50:606',3,286.637573,1
467,'2021/06/23 13:15:50:666',3,287.510071,1
468,'2021/06/23 13:15:50:726',3,288.208069,1
469,'2021/06/23 13:15:50:786',3,288.766449,1
470,'2021/06/23 13:15:50:846',3,289.213165,1
471,'2021/06/23 13:15:50:906',3,289.570526,1
472,'2021/06/23 13:15:50:968',3,289.856415,1
473,'2021/06/23 13:15:51:029',3,290.285126,1
474,'2021/06/23 13:15:51:111',3,290.628113,1
475,'2021/06/23 13:15:51:146',3,290.30249,1
476,'2021/06/23 13:15:51:213',3,290.041992,1
477,'2021/06/23 13:15:51:265',3,289.633606,1
478,'2021/06/23 13:15:51:327',3,289.306885,1
479,'2021/06/23 13:15:51:386',3,289.045502,1
480,'2021/06/23 13:15:51:447',3,288.836395,1
481,'2021/06/23 13:15:51:507',3,288.669128,1
482,'2021/06/23 13:15:51:568',3,288.535309,1
483,'2021/06/23 13:15:51:625',3,288.628235,1
484,'2021/06/23 13:15:51:686',3,288.702576,1
485,'2021/06/23 13:15:51:769',3,288.762054,1
486,'2021/06/23 13:15:51:806',3,288.809631,1
487,'2021/06/23 13:15:51:867',3,288.847717,1
488,'2021/06/23 13:15:51:926',3,288.878174,1
489,'2021/06/23 13:15:51:987',3,288.702545,1
